GetContentResponse,GetContentResponse,44930656,31202.15004664076
GetContentResponse,MakeResponse,154574,1981448.917385848
GetContentResponse,MoveResponse,7914,1363617.437452616
GetContentResponse,PutContentResponse,130260,1203414.956901581
GetContentResponse,Unlink,54165,777097.0706360196
MakeResponse,GetContentResponse,113424,44666.14415820285
MakeResponse,MakeResponse,66939133,2184.811465887973
MakeResponse,MoveResponse,2623940,2599.009263169127
MakeResponse,PutContentResponse,18301095,3592.46703243713
MakeResponse,Unlink,7086457,4559.619028662702
MoveResponse,GetContentResponse,9544,1487610.712803856
MoveResponse,MakeResponse,1349331,58370.24217927254
MoveResponse,MoveResponse,2660492,4423.41609672196
MoveResponse,PutContentResponse,2916708,16098.53387072
MoveResponse,Unlink,907213,10811.26268583012
PutContentResponse,GetContentResponse,156429,2210872.177908188
PutContentResponse,MakeResponse,19932968,103388.5112096202
PutContentResponse,MoveResponse,770084,73621.01078323922
PutContentResponse,PutContentResponse,76402582,28903.61651857525
PutContentResponse,Unlink,1964923,163191.812656781
Unlink,GetContentResponse,50520,970929.1523357086
Unlink,MakeResponse,6366142,54885.71028324533
Unlink,MoveResponse,1768345,5053.214569555149
Unlink,PutContentResponse,1840637,42578.2466086469
Unlink,Unlink,30736691,2296.576319162007
